22,0,0,0,15,-26,-70,-10,27,70,-127,80,-70,-124,-28,70
29,0,0,0,-5,13,-70,-11,-10,70,-117,50,-70,-130,12,70
36,0,0,0,-12,67,-70,-1,-39,70,-132,-27,-70,-129,55,70
43,0,0,0,-12,53,-70,-9,-25,70,-138,1,-70,-110,59,70
50,0,0,0,1,-30,-70,-9,20,70,-132,46,-70,-123,-14,70
57,0,0,0,7,-41,-70,-27,36,70,-125,77,-70,-136,-14,70
64,0,0,0,-21,21,-70,-17,-4,70,-135,-2,-70,-138,34,70
71,0,0,0,-8,62,-70,-4,-14,70,-133,-32,-70,-127,75,70
78,0,0,0,-22,7,-70,-25,35,70,-142,25,-70,-113,41,70
85,0,0,0,10,-63,-70,-10,64,70,-133,60,-70,-128,-28,70
