15,0,0,0,-14,22,-70,-14,-15,70,-129,14,-70,-104,61,70
22,0,0,0,-21,32,-70,-18,5,70,-136,51,-70,-119,20,70
29,0,0,0,-23,32,-70,-18,19,70,-139,77,-70,-132,-17,70
36,0,0,0,-11,19,-70,-15,-2,70,-110,64,-70,-125,10,70
43,0,0,0,-14,12,-70,-11,-24,70,-145,-4,-70,-138,51,70
50,0,0,0,-17,0,-70,-15,-20,70,-143,-10,-70,-118,74,70
57,0,0,0,-13,8,-70,-18,38,70,-135,41,-70,-118,31,70
64,0,0,0,-24,9,-70,-23,52,70,-133,70,-70,-126,-21,70
71,0,0,0,-20,3,-70,-26,35,70,-116,60,-70,-133,12,70
78,0,0,0,-17,-1,-70,-12,-8,70,-137,-18,-70,-143,52,70
85,0,0,0,-10,-2,-70,-5,17,70,-133,-13,-70,-123,85,70
92,0,0,0,-13,-7,-70,-22,46,70,-136,19,-70,-103,35,70
99,0,0,0,-23,0,-70,-23,76,70,-141,67,-70,-130,-9,70
106,0,0,0,-17,-10,-70,-19,54,70,-112,55,-70,-131,10,70
