57,0,0,0,29,-2,70,24,-11,-70,-102,-14,70,-92,-25,-70
64,0,0,0,28,0,70,24,-7,-70,-96,-48,70,-98,16,-70
71,0,0,0,31,-1,70,27,-2,-70,-82,-28,70,-100,-4,-70
78,0,0,0,21,1,70,16,2,-70,-97,13,70,-108,-38,-70
85,0,0,0,26,-1,70,23,-2,-70,-105,18,70,-91,-68,-70
92,0,0,0,25,2,70,21,1,-70,-123,-18,70,-93,-7,-70
99,0,0,0,27,0,70,22,1,-70,-98,-57,70,-106,35,-70
106,0,0,0,32,-4,70,25,7,-70,-83,-36,70,-112,1,-70
113,0,0,0,30,-4,70,29,10,-70,-101,13,70,-108,-35,-70
120,0,0,0,23,-4,70,26,4,-70,-102,5,70,-94,-61,-70
127,0,0,0,24,-4,70,18,4,-70,-117,-25,70,-106,7,-70
