64,0,0,0,25,26,-70,21,-18,70,-108,-9,-70,-95,60,70
71,0,0,0,27,12,-70,24,-8,70,-118,27,-70,-93,33,70
78,0,0,0,29,-2,-70,29,-6,70,-120,60,-70,-108,-35,70
85,0,0,0,13,4,-70,17,-10,70,-101,67,-70,-112,-8,70
92,0,0,0,-6,48,-70,1,-28,70,-119,-1,-70,-129,34,70
99,0,0,0,-5,54,-70,0,-15,70,-122,-24,-70,-107,68,70
106,0,0,0,-5,-20,-70,-4,13,70,-124,15,-70,-102,20,70
113,0,0,0,27,-41,-70,-4,42,70,-115,59,-70,-109,-34,70
120,0,0,0,-1,-16,-70,-12,37,70,-99,52,-70,-108,5,70
127,0,0,0,-8,17,-70,-12,-8,70,-125,-17,-70,-120,37,70
134,0,0,0,-8,35,-70,4,7,70,-122,-14,-70,-106,78,70
141,0,0,0,-5,-25,-70,-4,48,70,-119,30,-70,-97,24,70
