43,0,0,0,-2,-38,70,4,15,-70,-110,20,70,-114,-73,-70
50,0,0,0,-13,15,70,-17,-34,-70,-135,-17,70,-116,-30,-70
57,0,0,0,1,34,70,-12,-64,-70,-129,-60,70,-131,21,-70
64,0,0,0,-7,12,70,-12,-32,-70,-105,-42,70,-132,-10,-70
71,0,0,0,-3,-27,70,0,24,-70,-118,28,70,-127,-43,-70
78,0,0,0,-6,-35,70,8,20,-70,-118,14,70,-104,-60,-70
85,0,0,0,-20,7,70,-19,-31,-70,-133,-35,70,-130,-2,-70
92,0,0,0,-1,11,70,-6,-39,-70,-112,-62,70,-124,25,-70
99,0,0,0,-4,-28,70,-9,14,-70,-108,-23,70,-134,-14,-70
106,0,0,0,-7,-55,70,4,44,-70,-124,27,70,-123,-60,-70
113,0,0,0,-17,-49,70,-4,17,-70,-125,-12,70,-108,-40,-70
120,0,0,0,-12,-8,70,-24,-18,-70,-137,-52,70,-137,25,-70
