29,0,0,0,-7,9,70,-5,-33,-70,-112,-23,70,-98,-45,-70
36,0,0,0,8,48,70,-10,-88,-70,-119,-58,70,-118,18,-70
43,0,0,0,0,23,70,-14,-55,-70,-100,-45,70,-116,-14,-70
50,0,0,0,-1,-40,70,1,15,-70,-115,15,70,-125,-48,-70
57,0,0,0,-9,-46,70,8,22,-70,-116,7,70,-106,-73,-70
64,0,0,0,-6,2,70,-11,-31,-70,-116,-39,70,-104,-14,-70
71,0,0,0,6,28,70,0,-57,-70,-108,-65,70,-121,20,-70
78,0,0,0,-5,-26,70,-8,-6,-70,-97,-33,70,-123,-23,-70
85,0,0,0,-11,-70,70,2,51,-70,-117,28,70,-123,-64,-70
92,0,0,0,-9,-50,70,0,32,-70,-120,-2,70,-102,-42,-70
99,0,0,0,5,2,70,-8,-17,-70,-124,-47,70,-122,31,-70
106,0,0,0,7,0,70,-12,-27,-70,-105,-69,70,-122,10,-70
