22,0,0,0,-3,36,-70,-20,-5,70,-129,36,-70,-105,14,70
29,0,0,0,17,-11,-70,-14,30,70,-138,73,-70,-129,-24,70
36,0,0,0,51,-17,-70,-13,32,70,-132,63,-70,-144,13,70
43,0,0,0,62,-18,-70,-12,-19,70,-146,-10,-70,-142,42,70
50,0,0,0,65,-13,-70,-18,-7,70,-146,2,-70,-130,52,70
57,0,0,0,62,-12,-70,-14,24,70,-157,31,-70,-135,4,70
64,0,0,0,64,-7,-70,-12,56,70,-141,67,-70,-142,-2,70
71,0,0,0,61,-14,-70,-14,53,70,-127,40,-70,-144,22,70
78,0,0,0,65,-24,-70,-21,47,70,-142,-5,-70,-143,47,70
85,0,0,0,72,-31,-70,-18,49,70,-137,19,-70,-124,49,70
92,0,0,0,72,-46,-70,-6,53,70,-141,43,-70,-128,-6,70
99,0,0,0,14,-29,-70,-13,47,70,-111,40,-70,-129,17,70
106,0,0,0,-7,37,-70,-10,-10,70,-134,-28,-70,-127,42,70
113,0,0,0,-6,55,-70,4,-7,70,-126,-11,-70,-114,73,70
120,0,0,0,-5,-19,-70,-4,33,70,-131,22,-70,-107,36,70
127,0,0,0,14,-55,-70,-5,76,70,-131,63,-70,-129,-14,70
134,0,0,0,-2,-29,-70,-14,57,70,-114,45,-70,-134,18,70
