64,0,0,0,-8,-42,70,-7,-22,-70,-98,17,70,-100,-79,-70
71,0,0,0,-8,9,70,-9,-42,-70,-97,-12,70,-86,-32,-70
78,0,0,0,12,40,70,-14,-56,-70,-102,-53,70,-104,18,-70
85,0,0,0,-4,19,70,-26,-43,-70,-83,-37,70,-102,-6,-70
92,0,0,0,-15,-38,70,-7,5,-70,-92,10,70,-96,-36,-70
99,0,0,0,-7,-36,70,-1,5,-70,-97,13,70,-92,-63,-70
106,0,0,0,-9,24,70,-11,-37,-70,-106,-18,70,-90,-11,-70
113,0,0,0,20,46,70,-9,-60,-70,-99,-56,70,-97,31,-70
120,0,0,0,0,11,70,-20,-32,-70,-75,-33,70,-99,0,-70
127,0,0,0,-4,-44,70,-4,36,-70,-87,9,70,-96,-32,-70
134,0,0,0,-4,-65,70,6,41,-70,-88,10,70,-88,-54,-70
141,0,0,0,-11,-13,70,-15,-6,-70,-98,-30,70,-87,-3,-70
