22,0,0,0,-20,44,-70,-15,10,70,-124,34,-70,-101,46,70
29,0,0,0,-15,4,-70,-31,34,70,-141,67,-70,-128,-20,70
36,0,0,0,-22,14,-70,-26,34,70,-126,94,-70,-131,3,70
43,0,0,0,-25,45,-70,-19,-15,70,-124,42,-70,-126,23,70
50,0,0,0,-21,56,-70,-8,-14,70,-123,-8,-70,-122,63,70
57,0,0,0,-25,32,-70,-21,-2,70,-135,12,-70,-107,60,70
64,0,0,0,-8,-13,-70,-17,30,70,-130,47,-70,-126,-1,70
71,0,0,0,-5,-22,-70,-10,25,70,-126,85,-70,-126,-16,70
78,0,0,0,-26,25,-70,-20,16,70,-122,47,-70,-133,26,70
85,0,0,0,-22,42,-70,-3,-12,70,-126,-31,-70,-127,58,70
92,0,0,0,-21,13,-70,-9,23,70,-125,0,-70,-103,67,70
99,0,0,0,-1,-31,-70,-16,58,70,-129,45,-70,-116,10,70
106,0,0,0,1,-36,-70,-15,54,70,-118,71,-70,-117,0,70
113,0,0,0,-20,4,-70,-20,33,70,-113,41,-70,-125,29,70
