29,0,0,0,-16,29,-70,-26,36,70,-137,48,-70,-116,24,70
36,0,0,0,-13,-2,-70,-21,32,70,-136,80,-70,-132,-17,70
43,0,0,0,-17,21,-70,-21,41,70,-115,71,-70,-131,22,70
50,0,0,0,-26,53,-70,-16,-15,70,-134,0,-70,-129,54,70
57,0,0,0,-26,50,-70,-16,-9,70,-130,-2,-70,-113,79,70
64,0,0,0,-22,5,-70,-23,24,70,-138,40,-70,-120,34,70
71,0,0,0,0,-30,-70,-27,45,70,-128,70,-70,-126,-28,70
78,0,0,0,-15,1,-70,-22,34,70,-109,63,-70,-128,16,70
85,0,0,0,-17,30,-70,-1,-9,70,-124,-9,-70,-120,54,70
92,0,0,0,-16,29,-70,-9,-5,70,-120,-10,-70,-109,80,70
99,0,0,0,-17,-19,-70,-22,42,70,-134,27,-70,-104,42,70
106,0,0,0,-6,-42,-70,-27,62,70,-133,68,-70,-135,-13,70
113,0,0,0,-11,-21,-70,-16,46,70,-110,58,-70,-125,17,70
