57,0,0,0,41,20,70,-18,-36,-70,-91,-37,70,-117,-26,-70
64,0,0,0,43,17,70,-4,-7,-70,-96,17,70,-110,-59,-70
71,0,0,0,41,17,70,-9,-15,-70,-99,2,70,-98,-71,-70
78,0,0,0,35,16,70,-16,-40,-70,-114,-40,70,-105,-10,-70
85,0,0,0,23,25,70,-19,-39,-70,-97,-73,70,-115,10,-70
92,0,0,0,-11,1,70,-14,-6,-70,-91,-37,70,-119,-27,-70
99,0,0,0,-19,-46,70,1,29,-70,-100,19,70,-115,-66,-70
106,0,0,0,-13,-46,70,-6,10,-70,-96,-6,70,-95,-58,-70
113,0,0,0,-6,-30,70,-9,-16,-70,-104,-46,70,-101,5,-70
120,0,0,0,14,-2,70,-10,-14,-70,-87,-73,70,-103,16,-70
