36,0,0,0,17,-23,-70,4,30,70,-123,73,-70,-119,-31,70
43,0,0,0,-7,14,-70,-12,28,70,-116,56,-70,-125,12,70
50,0,0,0,-7,66,-70,8,-36,70,-130,-23,-70,-130,51,70
57,0,0,0,-7,56,-70,-2,-24,70,-133,-4,-70,-112,64,70
64,0,0,0,0,-28,-70,-15,25,70,-139,42,-70,-127,-9,70
71,0,0,0,16,-45,-70,-12,50,70,-122,79,-70,-127,-19,70
78,0,0,0,-22,13,-70,-15,-1,70,-131,6,-70,-143,36,70
85,0,0,0,-10,56,-70,2,-24,70,-129,-36,-70,-134,66,70
92,0,0,0,-19,15,-70,-21,33,70,-137,5,-70,-114,37,70
99,0,0,0,14,-53,-70,-10,60,70,-132,45,-70,-127,-22,70
106,0,0,0,13,-48,-70,-16,58,70,-118,44,-70,-131,-5,70
113,0,0,0,-18,10,-70,-26,29,70,-133,-16,-70,-140,41,70
