64,0,0,0,14,-13,-70,8,22,70,-100,63,-70,-109,-11,70
71,0,0,0,-3,60,-70,-7,-6,70,-115,0,-70,-123,38,70
78,0,0,0,5,76,-70,3,2,70,-115,-12,-70,-99,74,70
85,0,0,0,-8,-11,-70,-13,29,70,-131,25,-70,-113,19,70
92,0,0,0,35,-46,-70,4,42,70,-106,71,-70,-101,-25,70
99,0,0,0,2,-20,-70,-5,23,70,-98,41,-70,-120,8,70
106,0,0,0,3,42,-70,8,-1,70,-110,-31,-70,-112,54,70
113,0,0,0,-5,31,-70,7,6,70,-118,-7,-70,-95,68,70
120,0,0,0,11,-40,-70,-2,43,70,-115,33,-70,-108,6,70
127,0,0,0,24,-47,-70,-3,53,70,-106,68,-70,-110,-14,70
134,0,0,0,-5,-17,-70,-4,37,70,-103,28,-70,-117,18,70
